 ,Project Name,Location,Size,Total Unit,Category,Size (Super Area),Company Price,Company Landing price,Resale Price,Possession,Tower,REMARKS,Extra Charges
1,Ambika La Parisian,Sector 66- B,7 Acres,576,3B2T,1450 Sq. Ft.,1.3,,145,Ready,TRIOMPHE C & SAVOYE C,Ground + 15 Floors,
,,,,,3 BHK,1720 Sq. Ft.,1.55,,160,,TRIOMPHE B & SAVOYE B,1 Parking is included with the flat.,
,,,,,3 BHK,1775 Sq. Ft.,1.6,,1.65-1.70,,TRIOMPHE D & SAVOYE A-D,,
,,,,,3 BHK,1785 Sq. Ft,1.6,,1.7,,TRIOMPHE A-D & SAVOYE A-D,Two Side Open,
,,,,,4+1 BHK,2920 Sq. Ft.,2.5, ,2.6-2.65,,VERSAILE,,
,,,,,3+1 BHK,2185/2205 ,1.8,,190,,TRIOMPHE A/VERSAILE,,
2,Joy Grand,Sector 88,6 Acres,350,3+1 BHK,2866 Sq. Ft.,9000(7300/8200),,7400-7500,2027,,7 TOWERS/S+24/MIVAN CONSTRUCTION,
,,,,,,3192 Sq. Ft.,,,,,S+23,A BLOCK-B1/A1/A2,
,,,,,4+1 BHK,3677 Sq. Ft. ,,,8000-8200,,S+28,B BLOCK-B2/B3,
,,,,,,4054 Sq. Ft.,,,,,S+28,C BLOCK -H/I,
3,Horizon Belmond,Sector 88,6.5 Acres,336,3+1 BHK,2602 Sq. Ft. (Non Corner),11000(7200),,7200,March 2027,"Tower- B3, B4 & B5",Ground + 24 Floors (8 Towers),
,,,,,,2808 Sq. Ft. (Corner),,,,,,Dual Core Towers,
,,,,,4+1 BHK,3326 Sq. Ft. (Non Corner),,,,,"Tower- B1, B2 & B6",Park Facing,
,,,,,,3538 Sq. Ft. (Corner),,,,,,,
,,,,,"Garden Villa, Pent Houses & 5+1 BHK",5300 Sq. Ft.,13000,,,,Tower- K1 & K2,,
4,Atulyam,Sector 88,6.13 Acres,256,3+1 BHK,3400 Sq. Ft. (Non Corner),11600,,10600,March 2027,"Tower 1A, 1B & 1C",22 Floors,
,,,,,,3800 Sq. Ft. (Corner),,,,,,30K Club House,
,,,,,4+1 BHK,4600 Sq. Ft. ,,,,,Tower 2A & 2B,Double Basement Parking.,
,,,,,5+2 BHK,6400 Sq. Ft.,12600,,,,Tower 3A & 3B,3BHK and 4 BHK- 2 Flats on each floor & 5BHK 1 flat on one floor.,
5,Noble Aurellia,Sector 88,8 Acres (Phase 1),400 - 500,3 BHK,2650 Sq. Ft.,8800(7600),,7400,2029,Tower A1 & A2,Mivan Construction,
,,,,,3+1 BHK,2901 Sq. Ft,9000(7700),,,,Tower B1 & B2,,
6,Noble Magnolia,Sector 88,10 Acres (Phase 2),600 - 700,3+1 BHK,3351 Sq. Ft.,9700,,8000,2030,"Tower E1, E2 & E3",,
,,,,,4+1 BHK,4451 Sq. Ft.,9900,,,,Tower C1 & C2,,
,,,,,5+1 BHK,5551 Sq. Ft.,,,,,Tower D1,,
7,Hero Homes,Sector 88,18.49 Acres,,3 BHK + Store,1661 Sq. Ft.,Sold Out,,1.45,2026,"Tower- 10, 11, 14, 15 & 16",Tower- 11 & 12 (Ready),
,,,,,,1725 Sq. Ft.,,,148,,"Tower- 14, 15 & 16",Tower 10 & 13 (6 Months),
,,,,,,1926 Sq. Ft,,,1.75,,"Tower- 14, 15 & 16","Tower 14, 15 & 16 (1.5 Years)",
,,,,,,2085 Sq. Ft.,,,,,"Tower- 14, 15 & 16",,
,,,,,2+1 BHK,1481 Sq. Ft.,,,1.20-1.25,,Tower- 12 & 13,,
,,,,,3+1 BHK,1950 Sq. Ft.,,,1.9,Occupied,Tower- 2,,
,,,,,2 BHK,1095 Sq. Ft.,,,1.1,,Tower- 5,,
,,,,,2+1 BHK,1290 Sq. Ft.,,,1.10-1.15,,Tower- 4,,
,,,,,3 BHK,1565 Sq. Ft.,,,1.45,,"Tower- 3, 6, 7 & 8",,
,,,,,4 BHK,3490 Sq. Ft.,3.14 Cr,,3.6,2029,Tower- 1 & 9,"Seprate club house, G + 22 Floors",
8,The Pinnacle,Sector 83-A (IT City),8 Acres,,3+1 BHK,2450 Sq. Ft.,11000(8900),,9000,,Zenith & Crest,2 Car Parking free,
,,,,,4+1 BHK,3500 Sq. Ft.,,,,,Everest,Stilt + 36 Floors,
,,,,,3 BHK,2100 Sq. Ft.,,,,,Prime & Apex,Mivan Construction,
,,,,,,2300 Sq. Ft.,,,,,,,
,,,,,,3800 Sq. Ft.,,,,,Crown,,
,,,,,,4000 Sq. Ft.,,,,,,,
,,,,,Cloud Villa,5000 Sq. Ft- 5050 Sq. Ft.,14000,,,,,,
9,Medallion Republic,IT City Chowk,55 Acres,1200-1300,2 BHK,1350 Sq. Ft.,6900(6650),,,,,"S+30, 20 acres residential",
,,,,,3 BHK,1750 Sq. Ft.,6900,,,,,16 lakh Booking,
10,Marbella Royce,Sector 83 A,8 Acres,600,4 BHK,3120 Sq. Ft. ,11000,,9200,2030,"Tower- A, B & C","Mivan Construction, 50k Club House",
,,,,,,3300 Sq. Ft,,,,,,A& B RERA,
,,,,,5 BHK,4120 Sq. Ft.,,,,,Tower- D,G + 42 Floors,
,,,,,,4300 Sq. Ft.,,,,,,,
11,Marbella Grand,Sector 82 A,11 Acres,,3+1 BHK,2601 Sq. Ft.,3.10 Cr,,PARK- 3 to 3.05 & Back- 2.75,August 2025,"Tower- E, F & G",,
,,,,,4+1 BHK,3672 Sq. Ft.,4.25- 4.5 Cr,,Park- 4-4.1 & NON Park 3.80-3.85,,"Tower- B, C, D & H",,
,,,,,5+1 BHK,7111 Sq. Ft.,8-9 Cr,,,June 2026,Tower- A,,
12,MEDALLION AURUM ,Sector 67,12.6 Acres,,3+1 BHK (4T),2950 Sq. Ft,11000 (8800),,8200,2030,"Tower- A, B, C, D & E",Tower A to H- S+16 & Tower I & J- S+14,
,,,,,4+1 BHK,3900 Sq. Ft. ,,,8300,,"Tower- F, G & H","24 Lakhs- Club, PB, IFM, 2 Car parking. ",
,,,,,5+1 BHK,7600 Sq. Ft.,12000,,,,Tower- I & J,"A, H & J Not open for sale. D & E- 95% Next Year ",
13,The Medallion 82,Sector 82A,8.6 Acres,,3B 2T,1550 Sq. Ft.,10000,,1.40-1.50,Sold,Amber 1 & 2,"Club- 1 lakh, Power Backup- 50k, Additional Car Parking- 4 Lakh.",
,,,,,3 BHK,1995 Sq. Ft.,,,1.80-1.95,Possession started,"Emerald- 1, 2, 3 & 4","Mivan Framework, ",
,,,,,4 BHK,2695 Sq. Ft,,,,,"Sapphire 1, 2 & 3",S+ 22 Floors,
14,The Medallion Nova,Sector 66,4 Acres,`,3 BHK,1990 Sq. Ft.,10500,,8200,2030,,,
,,,,,3+1,2497 Sq. Ft,,,,,,,
15,JLPL Falcon,Sector 66 A,28.5 Acres,,3+1 BHK,2480 Sq. Ft.,10500,,Park- 2.90 Non park- 2.65,,"Tower- A, B, X & Y",,
,,,,,3+1 BHK,2565 Sq. Ft.,12500,,,,Tower- O,,
,,,,,4+1 BHK,3008 Sq. Ft.,12000,,Park- 3.9 Non Park- 3.60,,Tower- C-H/ P-W (Future Launch),,
16,NOBLE CALISTA,66B,6.85,396,3+1 BHK,2850 Sq. Ft.,12750,,2.8,2025 June,"C,D,E,F",,
,,,,,4+1 BHK,3500 Sq. Ft.,13000,,3.5,,"G,H",,
,,,,,5+1 BHK,5000 Sq. Ft.,13500,,4.5,,"A,B",,
,Wave Estate,Sector 85,,,,,,,,,,,
,The Marq,Sector 82,,,,,,,,,,,
,DKG,,,,,,,,,,,,
