S. No.,Project Name,Location,Project Size,Total Unit,Category,Size (Super Area),Company Price,Company Landing price,Resale Price,Possession,Tower,REMARKS,Extra Charges
1,Escon Primera,"PR-7 Road, Zirakpur ",21 Acres,UNDER CONSTRUCTION ,2 BHK,1305 Sq. Ft.,9590,,,December 2025,Tower P & Q,S+14,
,,,,,3+1 BHK,2450 Sq. Ft.,9990,,,September 2025,"Tower L, M, N & O",S+18,
,,,,,3B2T,1550 Sq.ft ,9990,,,,TOWER I J K ,,
,,,,,3 BHK,2050 Sq. Ft.,9990,,,,"Tower R, S & T",2 Car parking with 3 BHK and above,
,,,,,,1850 Sq. Ft.,8090,,,,,1 Car Parking with 2 BHK,
,,,,,3+1 BHK,2250 Sq ft,,,,,,,
,,,,,4 BHK,3250 Sq. Ft.,,,,,,"Club- 35,000 Sq. Ft.",
,,,,,4+1 BHK,4650 Sq. Ft.,,,,,,,
2,Affinity Belgravia,Patiala Road,15 Acres,500,3 BHK,2150 Sq. Ft.,9500,,,2027,,"G+21 Floors, 22 & 23 Penthouse",
,,,,,3+1 BHK,2650 Sq. Ft.,,,,,,"10 Towers, Phase 1- 5 & Phase 2- 5",
,,,,,4+1 BHK,3380 Sq. Ft.,, ,,,,"Mivan Constructiion, 35K Clubhouse",
3,Ananta Aspire,Patiala Road,8 Acres,440,3 BHK,1843 Sq. Ft.,9500,,,September 2025,"Tower- 8, 9 & 10","Mivan Constructiion, 15K Clubhouse ",
,,,,,3+1 BHK,2247 Sq. Ft.,,,,,Tower- 1 to 7,1.75 Acres Sports Area.,
,,,,,4+1 BHK,2945 Sq. Ft.,,,,,"Tower- 11, 12 & 12A","S+ 17 Floors, 13 Towers",
4,Vamana Arvindam,Patiala Road,7.7 Acres,350,3 BHK,2325 Sq. Ft.,8500,,,2028,"Tower- 7, 8 & 10",New Payment Plan- 40% (On Booking)/ 20% On Completion of 12th Floor & 40% on Possession.,
,,,,,3+1 BHK,2690 Sq. Ft.,,,,,"Tower- 2, 3, 4, 5, 6 & 9",,
,,,,,4+1 BHK,3685 Sq. Ft.,8700,,,,Tower- 11,,
5,Trishla City,High Ground Road,16 Acres,,3 BHK,1770 Sq. Ft,1.61 Cr,,,,Tower- 6A,,
,,,,,,1808 Sq. Ft.,1.62 Cr,,,,,,
,,,,,,2021 Sq. Ft.,1.74 Cr,,,,,,
,,,,,,2048 Sq. Ft.,"1,89,85,000",,,,Tower- 5D,,
,,,,,4 BHK,2540 Sq. Ft.,2.70 Cr,,,,Tower- 5A,,
,,,,,,2750 Sq. Ft.,,,,,,,
,,,,,5 BHK ,5600 Sq. Ft.,4.95 Cr,,,,"Tower- 5A, Floor- 13 & 14",,
,,,,,,5340 Sq. Ft.,4.35 Cr,,,,,,
6,The Zirk,"High Ground Road, Zirakpur",4 Acres,193,3 BHK,1750 Sq. Ft.,7500,,,March 2026,TOWER B 2 AND 3 SERIES,,
,,,,,,1800 Sq. Ft,,,,,TOWER B 1AND 4 ,,
,,,,,,1900 Sq. Ft.,,,,,TOWER C 1 AND 4 ,,
,,,,,,1990 Sq. Ft.,,,,,TOWER D TOWER. C 2 AND 3 SERIES,,
,,,,,3+1 BHK,2290 Sq Ft,,,,,TOWER A ,,
7,Atlantis Grand,HIGH GROUND ROAD ,2.5 ACRE ,140,3BHK ,1915 Sq. Ft.,7270,,,March 2026,"Tower A,B & C",Payment Plan- 30:35:35,
,,,,,3BHK ,1995 Sq. Ft.,7270,,,,Tower D,Payment Plan- 50:50,
,,,,,,,,,,,,,
8,UPTOWN SKYLLA,PR7 ROAD ,8.5 ACRE,383,2BHK ,1220 SQ FT ,SOLD ,,1,,,,
,,,,,3B2T ,1420 SQFT ,SOLD ,,1.1,,,,
,,,,,3BHK ,1505 SQFT,SOLD ,,1.25,,,,
,,,,,3 BHK ,1665 SQFT,SOLD ,,1.35,,,,
,,,,,3+1 BHK ,2020 SQ FT ,SOLD ,,1.65,,,,
,,,,,4+1 BHK ,2505 SQ FT ,,,1.9-2,,,,
9,GREEN LOTUS UTSAV ,PR 7 ROAD ,15 Acre,,3 BHK,2100 Sq Ft,"10,500",9000,1.6-1.7,POSSESION STARTED ,"TOWER A,B,C,D,N,O,P,Q ",,
,,,,,3+1 BHK,2525 Sq Ft,,9000,2.1,,"TOWER E,F,G ",,
,,,,,4 BHK,3130 Sq Ft,,9000,9000,,"TOWER K,L,M",,
,,,,,5+1 BHK,3785 Sq Ft,,9000,9000,,"TOWER H,I ",,
,,,,,5 BHK (Duplex),5750 Sq Ft,,9000,9000,,TOWER J ,,
,,,,,5 BHK (Large),6255 Sq Ft,,9000,9000,,,,
,,,,,6 BHK (Duplex),8035 Sq Ft,,9000,9000,,,,
10,MCC Genesis,Zirakpur Ambala Highway,15 Acres,,3bhk ,2205 Sq Ft,,,,,,,
,,,,,,2350 Sq ft,,,,,,,
,,,,,3+1 BHK,2572 Sq ft,,,,,,,
,,,,,,2702 Sq Ft,,,,,,,
,,,,,4+1 BHK,3890 sq ft,,,,,,,
11,Atlantis 360,PR7 Road,5 Acres,,3 BHK,2325 Sq Ft,9600,,,,,,
,,,,,3+1 BHK,2600 Sq Ft,,,,,,,
,,,,,4+1 BHK,3204 Sq Ft,,,,,,,
12,MCC Fortune,PR7 Road,8.18 Acres,,3 BHK,1867 Sq ft,8000,,,,,,
,,,,,3+1 BHK ,2300 Sq ft,,,,,,,
,,,,,,3000 Sq ft,,,,,,,
,,,,,4+1 BHK,3000 Sq ft,8400,,,,,,
,,,,,,3500 Sq ft,,,,,,,
13,Skyline Elevate,PR7 Road,2 Acres,,3 bhk,1600,,,,,,,
,,,,,4 bhk,2200,,,,,,,
14,Joy Heights,,,,,,,,,,,,
15,Motia Aerogreens,I Block Adjoining,,,,,,,,,,,
16,MCC Revanta,Zirakpur Rajpura Highway,,,,,,,,,,,
